Id,Mean,Std,TMnonouverts,NbEnvie1,NbEnvie2,NbEnvie3,Problems_nonattribue,Problems_pasassez,Problems_tropnombreux,Value
2487,2.036036036036036,0.7542090391354559,"[17, 14, 5]",9,6,3,0,1,1,3.753534833308205e-06
2488,2.0495495495495497,0.8195986076270692,"[5, 17, 14]",9,7,7,3,0,1,-1.8425703178100004e-06
2489,2.036036036036036,0.7950972839868216,"[5, 14]",7,6,7,2,0,1,-5.268018459027064e-08
2490,2.081081081081081,0.7860219463751896,"[14, 5, 17]",6,8,7,1,0,1,2.4284441562703e-06
2491,2.09009009009009,0.8619618740930698,"[14, 5]",9,7,7,5,0,0,-4.313407143310071e-06
2492,2.018018018018018,0.7842566527683643,"[14, 5, 17]",9,7,7,2,0,1,3.019283367962253e-07
2493,2.0405405405405403,0.8200958313253229,"[5, 14, 17]",9,7,9,2,0,1,-2.216119415166727e-06
2494,2.130630630630631,0.7993541276055078,"[14, 5, 4, 26]",9,8,6,1,0,1,2.9873235660707238e-06
2495,2.099099099099099,0.8288350321366262,"[5, 17, 14]",7,7,7,3,0,0,-9.024240965607384e-07
2496,2.058558558558558,0.819001540721811,"[5, 17, 14, 26]",5,7,9,3,1,1,-1.4597269913828927e-06
2497,2.063063063063063,0.826914663226169,"[14, 5, 29]",9,8,7,1,0,2,-2.032713982512825e-06
2498,2.0405405405405403,0.7977205510293364,"[5, 14]",8,8,9,2,0,1,-1.332438062512907e-07
2499,1.9954954954954955,0.8043869971326539,"[14, 5, 29]",9,8,7,2,0,1,-2.3901286604631928e-06
2500,2.0765765765765765,0.789347053030284,"[5, 14, 17]",6,8,7,3,0,0,1.9552841005708723e-06
2501,2.0135135135135136,0.8743697392939836,"[5, 14, 17]",6,7,7,6,0,1,-8.250172587044398e-06
2502,2.058558558558558,0.8408106913731084,"[5, 17, 14]",7,7,9,4,0,1,-3.4899025843517748e-06
2503,2.0495495495495497,0.8028652168061975,"[14, 5, 26]",8,7,5,3,0,2,-2.848883073864288e-07
2504,1.981981981981982,0.8070053236714507,"[14, 17, 5]",9,7,9,3,0,0,-3.124759209578024e-06
2505,2.0405405405405403,0.7746992852145428,"[14, 5, 17]",7,8,9,1,0,0,2.009765461909394e-06
2506,2.0495495495495497,0.8028652168061973,"[5, 14, 17]",9,8,5,2,0,1,-2.848883073864152e-07
2507,2.099099099099099,0.7896955705886475,"[5, 26, 14]",6,7,2,0,1,1,2.740999750021922e-06
