Id,Mean,Std,Problems,TMnonouverts
188,2.2125984251968505,0.8416718176159453,['86 non attribué'],"[5, 16, 23, 26]"
189,2.141732283464567,0.8235078805611588,['86 non attribué'],"[16, 5, 26, 23]"
190,2.078740157480315,0.8223688124509821,"['153 non attribué', '139 non attribué']","[5, 16, 23, 26]"
191,2.1968503937007875,0.7667636592760193,[],"[16, 5, 26, 23]"
192,1.905511811023622,0.7810561720561535,['153 non attribué'],"[16, 5, 26]"
193,2.0708661417322833,0.7986208584745024,['227 non attribué'],"[16, 5, 26]"
194,2.0708661417322833,0.8084975519218145,['58 non attribué'],"[5, 16, 23, 26]"
195,2.1102362204724407,0.7687172004275831,[],"[26, 5, 16, 19]"
196,2.047244094488189,0.7853648198528294,[],"[16, 5, 26, 23]"
197,2.1023622047244093,0.7851260708520693,[],"[16, 5, 26, 23]"
198,2.015748031496063,0.7661929382000865,[],"[5, 26, 16]"
199,2.251968503937008,0.7450205487419418,[],"[16, 5, 26, 23]"
200,1.9921259842519685,0.781695988810634,[],"[5, 16, 23, 26]"
201,1.9921259842519685,0.8115834316579427,[],"[16, 5, 17, 26, 23]"
202,2.062992125984252,0.7740640174508246,[],"[16, 5, 26]"
203,2.0866141732283463,0.766600639467804,[],"[16, 5, 19, 26]"
204,2.062992125984252,0.8140437129566043,"['86 non attribué', (19, 'Pas assez : 1<4.0')]","[5, 16, 23, 26]"
205,2.031496062992126,0.7759991805143741,['147 non attribué'],"[5, 16, 26, 23]"
206,1.9133858267716535,0.7970543193857577,[],"[26, 16, 5]"
207,2.1968503937007875,0.8168791762258547,[],"[26, 16, 5, 19, 17, 23]"
208,2.047244094488189,0.8151177509302044,[],"[16, 5, 23, 26]"
209,1.968503937007874,0.7759991805143741,[],"[5, 16, 23, 26]"
210,2.2992125984251968,0.7696109162295599,"[(19, 'Pas assez : 1<4.0')]","[5, 16, 26, 23]"
211,1.984251968503937,0.8065628816402012,[],"[5, 16, 26, 23]"
212,1.9606299212598426,0.8106589011527893,['227 non attribué'],"[16, 5, 26]"
213,2.1496062992125986,0.7774473917533788,[],"[16, 5, 19, 26]"
214,2.141732283464567,0.8235078805611588,['139 non attribué'],"[16, 5, 23, 26]"
215,2.1338582677165356,0.8102733687672842,[],"[16, 5, 17, 23, 26]"
216,2.1653543307086616,0.7534447823961521,[],"[16, 26, 5]"
217,1.921259842519685,0.7928880224047977,[],"[16, 5, 23, 26]"
218,1.795275590551181,0.7698544768399813,[],"[16, 26, 5, 23]"
219,2.1496062992125986,0.7354810558077403,['86 non attribué'],"[5, 16, 23, 26]"
220,2.094488188976378,0.8109671950985806,['86 non attribué'],"[16, 5, 26]"
221,2.1023622047244093,0.7951703987225784,[],"[5, 16, 26]"
222,2.078740157480315,0.8126607212232069,"['147 non attribué', '86 non attribué']","[16, 5, 26]"
223,2.141732283464567,0.7940693809279413,"['100 non attribué', (19, 'Pas assez : 1<4.0')]","[16, 26, 5, 23]"
224,2.125984251968504,0.8260839534591686,[],"[5, 16, 26]"
225,1.952755905511811,0.8053222535162549,[],"[5, 26, 16, 23]"
226,1.9921259842519685,0.7714762491805037,[],"[16, 5, 26, 23]"
227,2.094488188976378,0.8303094743961983,[],"[16, 26, 17, 5, 23]"
228,2.047244094488189,0.795406132824913,[],"[16, 5, 26, 23]"
229,2.0,0.7867957924694432,[],"[16, 5, 26]"
230,1.8267716535433072,0.8076468679547303,[],"[16, 5, 17, 26, 23]"
231,2.141732283464567,0.7738217817955582,['86 non attribué'],"[16, 5, 26, 23]"
232,2.141732283464567,0.7840109475347066,[],"[16, 5, 26, 23]"
233,2.141732283464567,0.8040019885549414,[],"[16, 5, 23, 26]"
234,1.874015748031496,0.8544201225285939,[],"[26, 16, 5, 23]"
235,2.0708661417322833,0.7784916466119077,[],"[16, 5, 23, 26]"
236,1.9763779527559056,0.7914680646038973,[],"[16, 5, 26]"
237,2.267716535433071,0.7394637578467615,[],"[5, 26, 16, 19, 17]"
238,1.937007874015748,0.8042351339820701,[],"[5, 16, 23, 26]"
239,2.0551181102362204,0.809733315045647,[],"[16, 5, 26]"
240,1.874015748031496,0.7867163622746551,[],"[5, 26, 16, 23]"
241,2.1338582677165356,0.7700979604189456,"[(19, 'Pas assez : 1<4.0')]","[5, 16, 23, 26]"
242,1.952755905511811,0.8151177509302044,[],"[16, 5, 23, 26]"
243,2.031496062992126,0.7552673012999758,[],"[16, 5, 26, 23]"
244,2.15748031496063,0.7603799890739019,[],"[16, 5, 26]"
245,2.125984251968504,0.7662744958072365,[],"[16, 5, 26, 23]"
246,1.8503937007874016,0.7774473917533788,['153 non attribué'],"[5, 16, 26, 23]"
247,2.1023622047244093,0.8436000488203542,[],"[16, 17, 5, 26]"
248,2.0708661417322833,0.8278975318296333,[],"[16, 26, 5, 23]"
249,1.984251968503937,0.796662203299949,[],"[16, 5, 26, 23]"
250,1.984251968503937,0.7661929382000865,['86 non attribué'],"[16, 5, 23, 26]"
251,2.047244094488189,0.8438222534992559,['153 non attribué'],"[16, 5, 26, 23]"
252,1.9606299212598426,0.820390681255744,['262 non attribué'],"[5, 16, 26, 17]"
253,2.062992125984252,0.7943054417905888,[],"[16, 5, 23, 26]"
254,2.047244094488189,0.795406132824913,[],"[5, 16, 26, 23]"
255,2.1023622047244093,0.8341390930154803,[],"[16, 5, 23, 26]"
256,2.0393700787401574,0.7601333926707659,['227 non attribué'],"[16, 5, 26, 23]"
257,2.0236220472440944,0.7813761459212991,"[(16, 'Pas assez : 1<8.0')]","[5, 23, 26]"
258,1.9606299212598426,0.7908361538727323,[],"[16, 26, 5, 23]"
259,2.031496062992126,0.7961914090876715,[],"[16, 5, 26]"
260,2.1181102362204722,0.8693563868943913,['262 non attribué'],"[5, 16, 17, 26]"
261,2.0708661417322833,0.8084975519218145,[],"[16, 26, 5]"
262,2.094488188976378,0.8303094743961983,['86 non attribué'],"[5, 16, 23, 26]"
263,2.0393700787401574,0.820390681255744,[],"[16, 5, 19, 26]"
264,2.0866141732283463,0.7870340349555905,[],"[16, 5, 26, 23]"
265,2.031496062992126,0.8539079898578693,['153 non attribué'],"[16, 5, 23, 26]"
266,2.0393700787401574,0.7496197427897376,[],"[16, 5, 23, 26]"
267,2.1338582677165356,0.8102733687672842,[],"[16, 5, 26, 23]"
268,1.952755905511811,0.7853648198528294,"['86 non attribué', '139 non attribué']","[16, 5, 26, 23]"
269,2.0078740157480315,0.8213042569076933,[],"[5, 16, 23, 17, 26]"
270,2.1338582677165356,0.8296318242928696,"[(16, 'Pas assez : 1<8.0'), '227 non attribué']","[5, 23, 26]"
271,2.047244094488189,0.754439429406642,[],"[16, 5, 23, 26]"
272,2.078740157480315,0.8223688124509821,['86 non attribué'],"[16, 5, 26, 23]"
273,1.905511811023622,0.8585061857034804,['262 non attribué'],"[26, 16, 5, 17, 23]"
274,2.0236220472440944,0.8679895300474344,"['153 non attribué', '147 non attribué']","[16, 5, 23, 26]"
275,1.968503937007874,0.7861601262033048,[],"[5, 16, 26, 23]"
276,2.1653543307086616,0.8141972336959148,"[(16, 'Pas assez : 1<8.0'), '58 non attribué', '262 non attribué']","[5, 17, 19, 26]"
277,1.9606299212598426,0.8008088649267264,[],"[16, 5, 26, 23]"
278,1.9448818897637796,0.7161081612701187,[],"[16, 5, 26]"
279,2.0866141732283463,0.7970543193857579,[],"[16, 5, 26, 23]"
280,2.1338582677165356,0.7700979604189456,[],"[16, 5, 26]"
281,1.9606299212598426,0.7908361538727324,['86 non attribué'],"[16, 5, 26, 23]"
282,2.0551181102362204,0.7898873399091679,[],"[16, 5, 23, 26]"
283,1.952755905511811,0.7438453043277237,[],"[5, 16, 23, 26]"
284,2.1102362204724407,0.7890957901162905,['86 non attribué'],"[26, 16, 5, 23]"
285,2.062992125984252,0.8237355051697056,[],"[16, 5, 26, 23]"
286,1.9763779527559056,0.7813761459212991,[],"[5, 16, 23, 26]"
287,2.062992125984252,0.8333145854659008,[],"[16, 5, 26, 23]"
288,2.2283464566929134,0.7473654933179783,[],"[5, 16, 26]"
289,2.0393700787401574,0.8489169084841643,['86 non attribué'],"[16, 5, 26, 23]"
290,2.0393700787401574,0.8300083648760893,[],"[16, 26, 19, 5, 23]"
291,2.1653543307086616,0.7428364720764382,[],"[5, 16, 26]"
292,2.062992125984252,0.7842500360121933,[],"[5, 16, 23, 26]"
293,2.0866141732283463,0.8167261596138116,"['86 non attribué', '153 non attribué']","[16, 5, 17, 26]"
294,2.0551181102362204,0.7898873399091679,[],"[16, 26, 5, 23]"
295,2.1653543307086616,0.8141972336959148,"[(19, 'Pas assez : 1<4.0')]","[16, 5, 23, 26]"
296,1.858267716535433,0.7738217817955582,[],"[26, 16, 4, 5]"
297,2.0393700787401574,0.8395158733682738,"[(16, 'Pas assez : 1<8.0'), '86 non attribué']","[5, 23, 26]"
298,2.1338582677165356,0.800418588152766,['86 non attribué'],"[16, 5, 26]"
299,2.094488188976378,0.7604621701051144,['86 non attribué'],"[16, 26, 5]"
300,2.1181102362204722,0.8029130814247328,['86 non attribué'],"[16, 5, 26, 23]"
301,2.0551181102362204,0.8291043801843319,"[(17, 'Pas assez : 1<6.0')]","[5, 16, 26, 23]"
302,2.0393700787401574,0.7908361538727323,"[(4, 'Pas assez : 1<6.0'), '153 non attribué']","[5, 16, 23, 26]"
303,1.984251968503937,0.8635865777545644,"['153 non attribué', '91 non attribué']","[16, 26, 5, 23]"
304,2.0236220472440944,0.8209998446448615,[],"[16, 26, 5, 23]"
305,2.1181102362204722,0.812737615836732,[],"[16, 5, 26, 23]"
306,1.8425196850393701,0.7809761581060327,[],"[16, 5, 23, 26]"
307,2.094488188976378,0.8109671950985806,[],"[16, 5, 19, 26]"
308,2.1102362204724407,0.8658269416941123,['227 non attribué'],"[5, 16, 26, 23]"
309,2.0551181102362204,0.7898873399091679,[],"[16, 5, 23, 26]"
310,2.0,0.8067178260046389,['86 non attribué'],"[16, 5, 26, 23]"
311,2.015748031496063,0.8065628816402012,[],"[16, 5, 26]"
312,1.795275590551181,0.7594754108182471,[],"[16, 5, 23, 26]"
313,2.0236220472440944,0.7607908054575789,[],"[16, 5, 26, 23]"
314,2.125984251968504,0.776562694698664,[],"[5, 16, 23, 26]"
315,2.078740157480315,0.8601061139092676,['86 non attribué'],"[5, 16, 23, 26]"
316,1.968503937007874,0.8445625135359083,['262 non attribué'],"[5, 16, 17, 26]"
317,2.1181102362204722,0.792966834394695,[],"[16, 26, 5]"
318,1.9921259842519685,0.8309113660840813,[],"[16, 5, 26, 23]"
319,2.1023622047244093,0.7951703987225787,[],"[16, 5, 23, 26]"
320,1.984251968503937,0.7344607347766345,[],"[16, 5, 26]"
321,2.0393700787401574,0.7705035954012053,[],"[16, 26, 5]"
